Step,AgentID,Steps to fire up
6,"(22, 74)",-1
6,"(22, 76)",-1
6,"(22, 79)",-1
6,"(22, 80)",-1
6,"(22, 81)",-1
6,"(22, 83)",-1
6,"(22, 84)",-1
6,"(22, 89)",-1
6,"(22, 91)",-1
6,"(22, 92)",-1
6,"(22, 94)",-1
6,"(22, 99)",-1
6,"(23, 0)",-1
6,"(23, 2)",-1
6,"(23, 5)",-1
6,"(23, 7)",-1
6,"(23, 8)",-1
6,"(23, 11)",-1
6,"(23, 13)",-1
6,"(23, 15)",-1
6,"(23, 16)",-1
6,"(23, 18)",-1
6,"(23, 21)",-1
6,"(23, 23)",-1
6,"(23, 27)",-1
6,"(23, 29)",-1
6,"(23, 31)",-1
6,"(23, 32)",-1
6,"(23, 36)",-1
6,"(23, 39)",-1
6,"(23, 45)",-1
6,"(23, 47)",-1
6,"(23, 51)",-1
6,"(23, 52)",-1
6,"(23, 54)",-1
6,"(23, 55)",-1
6,"(23, 61)",-1
6,"(23, 65)",-1
6,"(23, 67)",-1
6,"(23, 70)",-1
6,"(23, 71)",-1
6,"(23, 72)",-1
6,"(23, 75)",-1
6,"(23, 76)",-1
6,"(23, 77)",-1
6,"(23, 78)",-1
6,"(23, 79)",-1
6,"(23, 80)",-1
6,"(23, 81)",-1
6,"(23, 85)",-1
6,"(23, 89)",-1
6,"(23, 90)",-1
6,"(23, 95)",-1
6,"(24, 1)",-1
6,"(24, 2)",-1
6,"(24, 5)",-1
6,"(24, 8)",-1
6,"(24, 9)",-1
6,"(24, 10)",-1
6,"(24, 15)",-1
6,"(24, 16)",-1
6,"(24, 17)",-1
6,"(24, 18)",-1
6,"(24, 19)",-1
6,"(24, 22)",-1
6,"(24, 25)",-1
6,"(24, 27)",-1
6,"(24, 31)",-1
6,"(24, 33)",-1
6,"(24, 34)",-1
6,"(24, 39)",-1
6,"(24, 42)",-1
6,"(24, 44)",-1
6,"(24, 46)",-1
6,"(24, 47)",-1
6,"(24, 49)",-1
6,"(24, 51)",-1
6,"(24, 54)",-1
6,"(24, 56)",-1
6,"(24, 57)",-1
6,"(24, 58)",-1
6,"(24, 63)",-1
6,"(24, 67)",-1
6,"(24, 68)",-1
6,"(24, 75)",-1
6,"(24, 76)",-1
6,"(24, 77)",-1
6,"(24, 78)",-1
